database_name,database_owner,database_start_time,schema_name,schema_owner,schema_create_time,table_name,table_owner,table_create_time,column_name,column_type,column_length,column_default_value,column_nullable,column_numeric_precision,column_numeric_scale,column_id
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,call_center_dimension,dbadmin,2019-04-22 18:54:59.411149-04,cc_state,char(2),2,,t,,,45035996273707222-11
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,end_date,date,8,,t,,,45035996273707218-3
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,online_page_key,int,8,,f,,,45035996273707218-1
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,page_description,varchar(100),100,,t,,,45035996273707218-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,page_number,int,8,,t,,,45035996273707218-4
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,page_type,varchar(100),100,,t,,,45035996273707218-6
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_page_dimension,dbadmin,2019-04-22 18:54:59.406501-04,start_date,date,8,,t,,,45035996273707218-2
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,call_center_key,int,8,,f,,,45035996273707226-6
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,cost_dollar_amount,float,8,,t,,,45035996273707226-16
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,customer_key,int,8,,f,,,45035996273707226-5
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,gross_profit_dollar_amount,float,8,,t,,,45035996273707226-17
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,net_dollar_amount,float,8,,t,,,45035996273707226-15
VMart,dbadmin,2019-09-19 17:23:50.117624-04,online_sales,dbadmin,2019-04-22 18:54:59.254815-04,online_sales_fact,dbadmin,2019-04-22 18:54:59.415765-04,online_page_key,int,8,,f,,,45035996273707226-7
