,database_name,database_creator,database_owner,database_desc,database_create_time,database_update_time,database_update_user,table_name,table_creator,table_desc,table_create_time,table_update_time,table_update_user,column_name,column_creator,column_desc,column_create_time,column_update_time,column_update_user,column_format,column_title,column_type,column_length,column_default_value,column_nullable,column_decimal_total_digits,column_decimal_fractional_digits,column_id
10,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_DISCOUNT,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1031
11,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_EXTENDEDPRICE,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1030
12,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_LINENUMBER,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,-(10)9,,I   ,4,,N ,,,1028
13,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_LINESTATUS,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,X(1),,CF  ,1,,N ,,,1034
14,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_ORDERKEY,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,-(10)9,,I   ,4,,N ,,,1025
15,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_PARTKEY,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,-(10)9,,I   ,4,,N ,,,1026
16,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_QUANTITY,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1029
17,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_RECEIPTDATE,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,yyyy-mm-dd,,DA  ,4,,N ,,,1037
18,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_RETURNFLAG,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,X(1),,CF  ,1,,N ,,,1033
19,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_SHIPDATE,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,yyyy-mm-dd,,DA  ,4,,N ,,,1035
20,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_SHIPINSTRUCT,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,X(25),,CF  ,25,,N ,,,1038
21,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_SHIPMODE,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,X(10),,CF  ,10,,N ,,,1039
22,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_SUPPKEY,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,-(10)9,,I   ,4,,N ,,,1027
23,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,lineitem,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,L_TAX,DBC,,2018-07-27 18:34:11,2018-07-27 18:34:11,DBC,--------------.99,,D   ,8,,N ,15.0,2.0,1032
24,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,nation,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,N_COMMENT,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,X(152),,CV  ,152,,N ,,,1028
25,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,nation,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,N_NAME,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,X(25),,CF  ,25,,N ,,,1026
26,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,nation,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,N_NATIONKEY,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,-(10)9,,I   ,4,,N ,,,1025
27,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,nation,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,N_REGIONKEY,DBC,,2018-07-27 19:38:46,2018-07-27 19:38:46,DBC,-(10)9,,I   ,4,,N ,,,1027
28,tpch,DBC,DBC,,2018-07-20 13:24:11,2018-07-27 18:47:19,DBC,orders,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,O_CLERK,DBC,,2018-07-27 19:44:14,2018-07-27 19:44:14,DBC,X(15),,CF  ,15,,N ,,,1031
